,text
186,"We are asking Georgians to do 4 things to help stop the spread of COVID-19:

1. Wear a mask
2. Practice social distancing
3. Wash your hands  
4. Follow the Public Health guidelines

RT to spread the word. Together, we will flatten the curve & emerge stronger than ever! #gapol"
187,"We are fortunate to have two great candidates for Congress in Georgia's 9th District. 
@MatthewGurtler
 and 
@Clyde4Congress
 are rock solid conservatives; either will represent Georgia well in Washington. #gapol #ga9"
188,Human trafficking is an evil industry and we must do everything in our power to end it. #gapol
189,Georgians are struggling to make ends meet. The Mayor's rollback plan will make it even harder by closing Atlanta businesses. This is NOT the time for pandemic politics. We must stand together to protect people & their paychecks! #gapol
190,"To stop the spread of COVID-19, we are asking Georgians to do 4 things for 4 weeks:
 Wear A Mask 
 Practice Social Distancing 
 Wash Your Hands 
 
 Follow Executive Order "
191,"On Tuesday, I signed legislation to improve Georgia's foster care system, crack down on human trafficking, & keep our children safe. GA is a state that values life & these reforms reflect our strong commitment to protecting the most vulnerable among us."
192,"Accurate, accessible, and timely testing in key to winning the war against COVID-19. This public-private partnership is another important step forward. #gapol"
193,"Georgia's new partnership will expand the number of tests the state is able to administer daily by 10,000 and greatly reduce the turnaround time of those tests (48 hours on average)."
194,"As demand for COVID-19 testing has soared across the country, many private labs have been unable to process tests quick enough to aid in contact tracing and mitigation. Some Georgians are waiting well over a week for their results, which is simply unacceptable."
195,"ICYMI: Last week, I signed several bills into law that will ensure access to healthcare for new mothers, reduce surprise medical bills, & improve health outcomes in every corner of our state. We continue to shake up the status quo & put patients first."
196,"We have challenging days ahead but with a measured, balanced approach that keeps people healthy, jobs protected, and families strong, we will weather this pandemic. Together, we will recover quickly and build a safer and more prosperous future for all Georgians."
197,"I also encourage Georgians to invest in the economic well-being of your community. Safely shop at local retail stores, support your favorite restaurants, and help area non-profits as they advance their mission during these unprecedented times."
198,"Moving forward, we will continue to ramp up COVID-19 testing, enhance hospital bed capacity, and provide PPE and staffing to address hotspots around the state. As always, I urge everyone to wear a mask, practice social distancing, wash your hands, and follow the Executive Order."
199,"On behalf of local businesses & their employees, we filed a lawsuit to stop the implementation of the Mayor's rollback plan. We refuse to sit back & do nothing as jobs, paychecks, & economic opportunity are lost. We must put politics aside and put hardworking Georgians first."
200,"Sadly, the Mayor of Atlanta violated our Executive Order & undermined economic stability in the process. She told citizens to stay at home & ordered businesses to dramatically scale back operations. Her reckless decision required swift and decisive action from the state."
201,"We are fighting to protect the lives and livelihoods of all Georgians. This is a war on two fronts, and we need everyone united to ensure victory. #gapol"
202,"Congressman John Lewis was a Civil Rights hero, freedom fighter, devoted public servant, and beloved Georgian who changed our world in a profound way. The Kemp Family is praying for his loved ones as they honor his life & mourn his passing. #RIPJohnLewis"
203,Our state & country lost a giant today. Rev. C.T. Vivian was a bold leader of the Civil Rights Movement who earned a Presidential Medal of Freedom for his incredible life of service. We are praying for Rev. Vivian's loved ones as they mourn his passing.
204,"To help us end this healthcare crisis, wear a mask, practice social distancing, and wash your hands. We must all do our part to stop the spread of COVID-19 in Georgia. #gapol"
205,"We are working around the clock to enhance hospital bed surge capacity, ramp up testing, and provide staffing and resources to healthcare facilities throughout our state. #gapol"
206,"Today, we announced a partnership with 
@PiedmontHealth
 to enhance hospital bed surge capacity for patients in Georgia. This is another strategic step forward in our fight against COVID-19. #gapol"
207,Mask Up & Go Dawgs!
208,"Georgia is a state that values life and our fight to protect the innocent unborn is far from over. #gapol 
https://ajc.com/news/state--regional-govt--politics/federal-judge-throws-out-georgia-anti-abortion-law/WKIkpZp5AUFvP6o43T99FK/…"
209,".
@GRAToday
 is working hard to protect lives & livelihoods across our great state. Let's do our part to help GA restaurant owners & employees weather the pandemic by eating locally. Together, we will emerge from this stronger than ever! #gapol"
210,"We pray for our local heroes - especially during these challenging times - and offer up our deepest gratitude for their unmatched  commitment to public safety. 

We proudly #BackTheBlue. RT if you do too! #gapol"
211,"We stand with our men and women in uniform who act with integrity, serve with compassion, and sacrifice their lives to protect our families and communities."
212,“This is not just a drug bust. This is the disruption of a criminal element.” #gapol
213,"Great reminder from hospital leaders about the 3W's that can help us protect the lives and livelihoods of all Georgians:

1. Wear a Mask
2. Wash your Hands 
3. Watch your Distance

RT to spread the word! #gapol"
214,"To keep our friends and neighbors safe from COVID-19, we have to do our part. It's time to mask up, Georgia! #gapol"
215,ICYMI: Georgia Gov. Brian Kemp launches campaign for COVID-19 safety awareness #gapol
216,"Together, we will stop the spread and emerge from this pandemic stronger and more united than ever. #gapol"
217,"Today, I encouraged local leaders throughout our state to join us in the fight against COVID-19. With a unified voice, we will encourage all Georgians to wear a mask, wash their hands, practice social distancing, & heed the advice of public health officials."
218,Enough with the tough talk. We must protect the lives and livelihoods of all Georgians. #gapol
219,"I have declared a State of Emergency and called up the 
@GeorgiaGuard
 because the safety of our citizens comes first. This measure will allow troops to protect state property and dispatch state law enforcement officers to patrol our streets."
220,"Peaceful protests were hijacked by criminals with a dangerous, destructive agenda. Now, innocent Georgians are being targeted, shot, and left for dead. This lawlessness must be stopped and order restored in our capital city."
221,"In Georgia, we stand against violence and with law enforcement. Rest assured, these criminals will be held accountable for their destructive and dangerous behavior. #gapol"
222,"We are fortunate to live in a country w/ unmatched liberty & opportunity for all Americans. During these challenging times, I urge you to use your freedom for good. Do the right thing & let’s stop the spread of COVID-19. Happy Independence Day & God Bless America! #gapol #July4th"
223,"This weekend, we celebrate our country's independence, thank those who have protected our freedom, and re-affirm our commitment to this nation's highest ideals. Together, we will preserve the American Dream for generations to come. #July4th #gapol"
224,"Surgeon General 
@JeromeAdamsMD
 :“Wearing a face covering or a mask is not a restriction of your freedom As a matter of fact, this is an instrument of freedom because we know if we wear face coverings we will have less spread in our communities & more places will be open.” #gapol"
225,"We all agree that it’s a good idea to wear a mask. I have great trust in our citizens to heed the call and do the right thing. Georgians came together before to help flatten the curve, and we will do it again to stop the spread. (Video Credit: 
@WRDW_WAGT
) #gapol"
226,"The Kemp Family is praying for our friend and fellow Georgian, 
@THEHermanCain
! #gapol"
227,"To stop the spread of COVID-19, we each have to do our part. By wearing a mask and following the guidance provided by public health officials, we can protect the lives - and the livelihoods - of Georgians in every part of our great state. #gapol"
